[ERROR] routeMap:9608  naipMap:899
[ERROR] X107 2 2
[ERROR] X108 2 2
[ERROR] X109 2 2
[ERROR] X110 3 3
[ERROR] X111 2 2
[ERROR] X112 2 2
[ERROR] X113 2 2
[ERROR] X114 3 3
[ERROR] X117 2 2
[ERROR] X100 3 3
[ERROR] X101 2 2
[ERROR] X103 2 2
[ERROR] X104 2 2
[ERROR] X105 2 2
[ERROR] X106 6 6
[ERROR] X129 2 2
[ERROR] X132 2 2
[ERROR] X133 2 2
[ERROR] X134 2 2
[ERROR] X135 3 4
[ERROR] X136 2 2
[ERROR] X138 2 2
[ERROR] X139 3 3
[ERROR] X130 2 2
[ERROR] X131 2 2
[ERROR] X118 2 2
[ERROR] X119 2 2
[ERROR] X121 2 2
[ERROR] X122 2 2
[ERROR] X123 2 2
[ERROR] X124 2 2
[ERROR] X125 3 3
[ERROR] X126 2 2
[ERROR] X127 2 2
[ERROR] X128 3 3
[ERROR] X120 2 2
[ERROR] X154 2 2
[ERROR] X156 2 2
[ERROR] X157 4 4
[ERROR] X158 2 2
[ERROR] X159 2 2
[ERROR] X150 2 2
[ERROR] X151 2 2
[ERROR] X152 2 2
[ERROR] X153 2 2
[ERROR] X143 2 2
[ERROR] X144 2 2
[ERROR] X145 2 2
[ERROR] X146 2 2
[ERROR] X147 2 2
[ERROR] X148 3 3
[ERROR] X140 2 2
[ERROR] X141 3 3
[ERROR] X142 2 2
[ERROR] X178 3 3
[ERROR] X172 2 2
[ERROR] X173 2 2
[ERROR] X174 2 2
[ERROR] X165 2 2
[ERROR] X166 2 2
[ERROR] X167 3 3
[ERROR] X168 2 2
[ERROR] X160 2 2
[ERROR] X161 2 2
[ERROR] X162 2 2
[ERROR] X163 2 2
[ERROR] X164 2 2
[ERROR] X181 2 2
[ERROR] 注册号过长
